Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,schinese
ZombieINC_challenge_tier2_KillBossDog_subtitle,Quest,Quest Info,,X,Who Let The Dogs Out?,,谁 放 的 狗 ?
ZombieINC_challenge_tier2_KillBossDog_description,Quest,Quest Info,,X,"I gave you a delicious dog food recipe that my grandma used to prepare for me. I can guarantee you, it will attract this creature from far miles away.\n\nHere's a hint: Once you use the bait, you will probably be surrounded by zombie dogs, so bring some guns with you. The smaller ones are weaker than usual because the big guy doesn't like to share food.",,"我给了你一份美味的狗粮食谱，那是我奶奶以前给我做的。我可以向你保证，这份美味能让它远道而来。\n\n有个提示:一旦你使用诱饵，可能会被僵尸狗包围，所以带好你的家伙事。小的比平时弱，因为大的不喜欢分享食物。"
ZombieINC_challenge_tier2_KillBossDog_offer,Quest,Quest Info,,X,"An [DECEA3]Alpha dog[-] has appeared, and it is a significant problem for my business. People usually don't like to be chased by these creatures, you know ? So here's the deal: [DECEA3]Kill the Alpha dog and some other dogs from its pack[-] to avoid another one showing up too soon.\n\nHere are some ingredients so you can craft something to attract him. okay?",,"一只 [DECEA3]领头犬[-] 出现了，对我的生意来说可不是个好消息。人们通常不喜欢被这些生物追赶，你懂吧?所以事情是这样的:[DECEA3]杀死领头犬和他的仆从[-]以避免另一只过早出现。\n\n这儿有一些原料，你可以制作一些东西来吸引他。成交?"
ZombieINC_challenge_tier2_KillBossDog_completion,Quest,Quest Info,,X,"Thanks for your help! These dogs keep appearing from time to time. I will put another bounty on them when it happens again.",,"感激不尽！这些畜生时不时地就会出现。如果还发生这种事的话，我会再次悬赏他们的。"
ZombieINC_challenge_tier2_KillBossDog_response,Quest,Quest Info,,X,Hunt the Alpha Dog Zombie,,[猎杀]丧尸领头犬([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier2_KillBossDog_statement,Quest,Quest Info,,X,"Be careful, you are not fighting agaist some Yorkshire.",,"小心点，你可不是在和约克郡犬（一种小型玩赏犬）战斗。"
ZombieINC_challenge_tier2_KillBossBiker_name,Quest,Quest Info,,X,Tier 2 Hunt the Special Zombie,,2级 猎杀特殊感染者
ZombieINC_challenge_tier2_KillBossBiker_subtitle,Quest,Quest Info,,X,Undead Macho Man,,亡灵战士
ZombieINC_challenge_tier2_KillBossBiker_description,Quest,Quest Info,,X,"Oliver was a great warrior; he must have died for a good reason. So, prepare yourself and don't underestimate your enemy.\n\nThis time, I won't give any hints as we didn't manage to get any intel about this target. In any case, nothing too crazy should happen.",,"奥利弗是一位伟大的战士:他的死一定是有原因的。所以，做好准备，不要轻敌。这一次，我不会给任何提示，因为我们没有得到任何关于这个目标的情报。无论如何，这些疯狂的事都不该发生。"
ZombieINC_challenge_tier2_KillBossBiker_offer,Quest,Quest Info,,X,"I need your help to kill a [DECEA3]strong zombie[-]. I already sent another man yesterday to [DECEA3]{poi.name}[-], but today the scouts alerted me that he was killed. At least they also said that before he died, he managed to get in a [DECEA3]last strike with his spear[-]. Will you accept this mission?",,"我需要你帮忙去杀个[DECEA3]强壮的僵尸[-]。我昨天已经派了另一个人去[DECEA3]{poi.name}[-]了, 但是今天侦察兵通知我他被干掉了。最后他们还说，在他死前，他设法[DECEA3]用他的矛进行了最后一次攻击[-]。你会接下这个任务吗?"
ZombieINC_challenge_tier2_KillBossBiker_completion,Quest,Quest Info,,X,"Hey! You are alive! Exactly as I predicted. But keep your eyes open. There are many other groups like this in the city.",,"嘿!你还活着!正如我所料。但是要睁大你的眼睛，在这个城市里还有很多这样的团体。"
ZombieINC_challenge_tier2_KillBossBiker_response,Quest,Quest Info,,X,Hunt the Biker Zombie ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]暴走族([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier2_KillBossBiker_statement,Quest,Quest Info,,X,"Be cautious, they were a famous group in the city, always together. Nonetheless, the other man got killed by them.",,"小心点，他们曾是城里有名的组合，总是混在一起。尽管如此，另一个人还是被他们杀了。"
ZombieINC_challenge_tier3_KillBossMultiply_name,Quest,Quest Info,,X,Tier 3 Hunt the Special Zombie,,3级 猎杀特殊感染者
ZombieINC_challenge_tier3_KillBossMultiply_subtitle,Quest,Quest Info,,X,The Little Boy Ate Too Much,,小家伙吃的太多了
ZombieINC_challenge_tier3_KillBossMultiply_description,Quest,Quest Info,,X,"This is what we have of information for now:\n\nHe is very tall, strong and slow\n\nHe can vomits his allies to fight for him\n\nThe scouts were too afraid to get more intel",,"这是我们目前掌握的信息:\n\n他非常高大、强壮，速度很慢\n\n他可以[DECEA3]从肚子里吐出他的盟友[-]为他而战\n\n侦察兵太害怕了，以至于无法获得更多的情报"
ZombieINC_challenge_tier3_KillBossMultiply_offer,Quest,Quest Info,,X,"We have a problem! It seems that a [DECEA3]zombie started to eat more than usual[-], even consuming other undead. At the moment, the scouts said that when this zombie feels threatened, he [DECEA3]vomits the zombies from his belly[-] to fight against you. It is a very peculiar situation, and we cannot risk letting this zombie get any bigger. Take down this thing, and I will pay you, okay? He is just by [DECEA3]{poi.name}[-]",,"我们有大麻烦了!看起来有个[DECEA3]僵尸开始吃得比平时更多[-]，甚至吃掉了其他僵尸。侦察兵说这个僵尸如果感到了威胁，他会[DECEA3]从肚子里吐出僵尸[-]来对付你，这是个非常特殊的情况，我们不能冒险让这僵尸变得更大。把这事解决掉，我就会付钱给你，好吗?他刚好路过[DECEA3]{poi.name}[-]"
ZombieINC_challenge_tier3_KillBossMultiply_completion,Quest,Quest Info,,X,"One less thing to worry about for now. It seems that as time went by, more bizarre zombies have appeared.",,"现在又少了一件需要担心的事。似乎随着时间的推移，越来越多奇怪的僵尸出现了。"
ZombieINC_challenge_tier3_KillBossMultiply_response,Quest,Quest Info,,X,Hunt the Hungry Zombie ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]吞噬者([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier3_KillBossMultiply_statement,Quest,Quest Info,,X,"Don't get too close to him, he must be very strong.",,"不要离他太近，他一定非常强壮。"
ZombieINC_challenge_tier3_KillBossFire_name,Quest,Quest Info,,X,Tier 3 Hunt the Special Zombie,,3级 猎杀特殊感染者
ZombieINC_challenge_tier3_KillBossFire_subtitle,Quest,Quest Info,,X,A Sad Storie,,一个悲伤的故事
ZombieINC_challenge_tier3_KillBossFire_description,Quest,Quest Info,,X,"I'm pretty sure that this story is all made up, just to frighten some survivors. But if it's true, I recommend you use some fire protection.\n\nSo here's the hint: Call the firefighters.",,"我很确定这个故事都是编造出来的，只是为了吓唬一些幸存者。但如果是真的，我建议你采取一些防火措施。\n\n所以给你个提示:打电话叫消防员。"
ZombieINC_challenge_tier3_KillBossFire_offer,Quest,Quest Info,,X,"Do you have time for a little storie ?\n\nSo this is what happened: when the apocalypse started, an entire [DECEA3]family got stuck in a fire in their house[-]. They were very vulnerable to an attack, and their screams for help attracted zombies. Since then, only [DECEA3]one member of the family keeps wandering the streets[-], but rumors said that he can [DECEA3]summon his entire family[-] from the ground again. If that's true, I want you to kill him and his entire family, okay? He is just by [DECEA3]{poi.name}[-]",,"你有时间听个小故事吗?事情是这样的:当世界末日开始时，一个完整的[DECEA3]家庭被困在他们的房子里[-]。他们非常容易受到攻击，求救的叫声吸引了僵尸。从那以后，只有[DECEA3]这个家庭的一个成员一直在街上游荡[-]。但有传言说他可以再次从墓地里[DECEA3]召唤他的家人[-]。如果这是真的，我要你灭了他的门，好吗?他刚好路过[DECEA3]{poi.name}[-]"
ZombieINC_challenge_tier3_KillBossFire_completion,Quest,Quest Info,,X,"So the rumors were real. You are a tough person. Now the streets are less dangerous and less bright.",,"所以传闻是真的……你可真牛逼。现在街道没有那么危险，也没有那么明亮了。"
ZombieINC_challenge_tier3_KillBossFire_response,Quest,Quest Info,,X,Hunt the Burnt Zombie ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]灼烧者([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier3_KillBossFire_statement,Quest,Quest Info,,X,"Let's put this family finally rest in peace",,"让这个家庭安息吧"
ZombieINC_challenge_tier4_KillBossScientist_name,Quest,Quest Info,,X,Tier 4 Hunt the Special Zombie,,4级 猎杀特殊感染者
ZombieINC_challenge_tier4_KillBossScientist_subtitle,Quest,Quest Info,,X,Doctor Heisenberg,,海森伯格博士
ZombieINC_challenge_tier4_KillBossScientist_description,Quest,Quest Info,,X,"End of the jokes for now, it's time to give some relevant information.\n\nThis zombie was a famous chemical scientist who had a second, less-known job. He worked with six trainees, all women, who were always by his side. These girls were very devoted to him, and some say that they were all lovers, but I personally think that's not true. To me, it seems like some strange cult.\n\nAnother helpful piece of information is that other hunters have already killed some trainees, but even so, he always has six trainees by his side. We think that he can somehow revive them after some time.\n\nLastly, another hunter told me that when he tried to kill the Doc, he saw the trainees healing their boss.",,"玩笑到此结束，是时候提供一些相关信息了。这个僵尸是一位著名的化学科学家，他还有一份不太为人所知的工作。他和六名助手一起工作，她们都是女性，总是在他身边。这些女孩对他非常忠诚，有人说她们都是恋人，但我个人认为这不是真的。在我看来，这像是某种奇怪的邪教。\n\n另一个有用的消息是，其他猎人已经杀死了一些助手，但即便如此，他的身边总是会围着六个助手。我们初步断定他能在一段时间后让她们复活。\n\n最后，另一个猎人告诉我，当他试图杀死博士时，他看到助手们在治疗海森伯格博士。"
ZombieINC_challenge_tier4_KillBossScientist_offer,Quest,Quest Info,,X,"My dream come true, if you know what I mean. A zombie is carrying a large pack of illegal substances, if the government still existed. [DECEA3]Kill that zombie[-], and I will send some scouts to collect the loot. Don't touch the goodies, okay? He is just by [DECEA3]{poi.name}[-]",,"我的梦想成真了，如果你能明白我的意思的话。如果政府还存在，僵尸就会携带一大袋非法物品。[DECEA3]杀死那个感染者[-]，然后我会派一些侦察兵去收集战利品。不要碰这些东西，好吗?他刚好路过[DECEA3]{poi.name}[-]"
ZombieINC_challenge_tier4_KillBossScientist_completion,Quest,Quest Info,,X,"Don't tell this to my wife. But now, talking seriously, these zombies were working together. It is not the first time that I've seen this happening. I think we can conclude that strong bonds formed when these people were alive stay even when transformed into zombies. It makes sense, I guess. It is the same brain after all, instincts, you know?",,"别告诉我妻子。但现在，说真的，这些僵尸居然在一起工作。这不是我第一次看到这种情况发生。我想我们可以得出结论，这些人活着时形成的牢固纽带即使变成僵尸也不会消失。嗯，我想这是有道理的。毕竟是同一个大脑，这就是本能，懂吧?"
ZombieINC_challenge_tier4_KillBossScientist_response,Quest,Quest Info,,X,Hunt the Scientist Zombie ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]科学怪人([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier4_KillBossScientist_statement,Quest,Quest Info,,X,"Do you think that this zombie could give me some... I don't know... funny candies?",,"你觉得这个僵尸能不能给我一些……我不确定……一些有趣的东西?"
ZombieINC_challenge_tier4_KillBossBomber_name,Quest,Quest Info,,X,Tier 4 Hunt the Special Zombie,,4级 猎杀特殊感染者
ZombieINC_challenge_tier4_KillBossBomber_subtitle,Quest,Quest Info,,X,Kaboom!,,生活大爆炸!
ZombieINC_challenge_tier4_KillBossBomber_description,Quest,Quest Info,,X,"Everything is new to us too, and I don't have too many things to help you.\n\nAll I can say for now is that the bombs that are being used emit sounds, so at least if you listen carefully, you won't be caught off guard.",,"这一切对我们来说也很陌生，我想我没有什么可以帮到你的。\n\n我现在只能说，正要触发的炸弹会发出声音，所以如果你仔细听，就不会被打个措手不及。"
ZombieINC_challenge_tier4_KillBossBomber_offer,Quest,Quest Info,,X,"I knew that it was inevitable. The first appearance of the bandits has happened. Probably this is just the beginning. At the moment, they aren't appearing in the front line, but even so, they are making a lot of mess.\n\nThe thing we have to worry about now is that they have [DECEA3]planted bombs in the zombies' bodies[-], and there is now a [DECEA3]bigger zombie acting like a leader and coordinating the bombers' group[-]. I need you to take down this zombie; at least it will be easier for the other hunters and warriors to get rid of the rest. He is just by [DECEA3]{poi.name}[-]",,"我知道这是不可避免的。土匪第一次出现了。也许这只是个开始。目前，他们并没有出现在前线，但即便如此，他们也制造了很多混乱。\n\n我们现在要担心的是，他们已经[DECEA3]在僵尸体内植入了炸弹[-]，现在有一个[DECEA3]更强大的僵尸充当头领并协调炸弹僵尸群[-]。我需要你拿下这个僵尸头头:至少这样其他猎人和战士可以更容易地除掉剩下喽啰。他刚好路过[DECEA3]{poi.name}[-]"
ZombieINC_challenge_tier4_KillBossBomber_completion,Quest,Quest Info,,X,"Things are more quiet for now, but there are many other zombies like this being made by these bandits, I'm sure of that. Here, take your reward.",,"现在形势稳定了，但我敢肯定，这些土匪还制造了很多类似的僵尸。来，这是你的报酬。"
ZombieINC_challenge_tier4_KillBossBomber_response,Quest,Quest Info,,X,Hunt the Bomber Zombie ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]炸弹客([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier4_KillBossBomber_statement,Quest,Quest Info,,X,"Oh crap, if it's true and the bandits have arrived, we will have a harsh time.",,"草，糟透了，如果土匪出现了这事是真的话，我们的日子可不好过了。"
ZombieINC_challenge_tier5_KillBossTwins_name,Quest,Quest Info,,X,Tier 5 Hunt the Special Zombie,,5级 猎杀特殊感染者
ZombieINC_challenge_tier5_KillBossTwins_subtitle,Quest,Quest Info,,X,Two Big Problems,,双鬼拍门
ZombieINC_challenge_tier5_KillBossTwins_description,Quest,Quest Info,,X,"If only killing one Special Zombie wasn't already harsh enough. But don't worry, it should be two different ones, right?",,"如果仅仅杀死一个特殊僵尸还不够残酷的话……但担心，这儿还有另一个完全不同的，搞得定吗?"
ZombieINC_challenge_tier5_KillBossTwins_offer,Quest,Quest Info,,X,"We are having trouble gaining more space close to [DECEA3]{poi.name}[-]. Out of the 3 warriors that I sent, only 1 came back. He said that there are 2 big special zombies in the region. One carries a blue shield and a weapon, the other carries a red one. Of course, zombies don't have the intelligence to arm themselves, so we know that bandits must be experimenting with these two. Kill the monsters before this gets too far.",,"我们难以攻下在[DECEA3]{poi.name}[-]附近的阵地。我派出的三个战士中，只有一个回来了。他说这个地区有两个特别的巨大僵尸。一个拿着蓝色的盾牌和武器，另一个拿着红色的。当然，僵尸没有武装自己的智慧，所以我们知道土匪一定在用这两个人做实验。在事态变得更糟之前杀了那些怪物。"
ZombieINC_challenge_tier5_KillBossTwins_completion,Quest,Quest Info,,X,"So you are saying that the other zombies had a green shield instead of red? Ahhahahaha, the warriors that gave the information must be color-blind or something else. I'm glad that this problem is over.",,"所以你是说其他僵尸的盾牌是绿色的而不是红色的?啊哈哈哈哈，提供信息的战士一定是色盲或者别的什么。不过我很高兴这个问题解决了。"
ZombieINC_challenge_tier5_KillBossTwins_response,Quest,Quest Info,,X,Hunt the Twins Zombies ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]双胞胎([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier5_KillBossTwins_statement,Quest,Quest Info,,X,"Be careful. Since the bandits arrived, things have only been getting worse.",,"小心点。自从土匪来了以后，情况越来越糟了。"
ZombieINC_challenge_tier5_KillBossTwinsInfested_name,Quest,Quest Info,,X,Tier 6 Hunt the Special Zombie,,6级 猎杀特殊感染者
ZombieINC_challenge_tier5_KillBossTwinsInfested_subtitle,Quest,Quest Info,,X,The Twins,,双尸成行
ZombieINC_challenge_tier5_KillBossTwinsInfested_description,Quest,Quest Info,,X,"This is one of the fights that can change the tides of war. I still couldn't figure out the reason why these zombies are in that location. It's not one of our routes or a point of interest for me. I can risk saying that this is only an experiment, perhaps to test how long the mechanism can survive, but it's just a theory.",,"这是一场可以改变战争趋势的战斗。我还是想不明白为什么这些僵尸会出现在那个地方。那不是我们的路线，也不是我感兴趣的地方。我可以大胆地说，这只是一个实验，也许是为了测试这个机制能存活多久，但这只是一个理论。"
ZombieINC_challenge_tier5_KillBossTwinsInfested_offer,Quest,Quest Info,,X,"The same warriors have spotted another set of twins wandering just by [DECEA3]{poi.name}[-]. It's the same, one is blue, and the other is red. But at this point, you already know that it's blue and green. But there is something new; he also described a mechanism on the back of each. Be cautious. We don't know what those things can do. Kill them before they become a bigger problem.",,"同样的战士发现了另一对双胞胎，就在[DECEA3]{poi.name}[-]附近徘徊。是一样的，一个是蓝色的，另一个是红色的。但在这一点上，你已经知道它是蓝色和绿色的。小心点。我们不知道那些东西能做什么。在他们成为更大的问题之前杀了他们。"
ZombieINC_challenge_tier5_KillBossTwinsInfested_completion,Quest,Quest Info,,X,"I have to agree with the bandits, the shields were kind of too ugly hahahahahaha! But talking seriously, you have my respect; I'm glad to have you on the team.",,"我不得不同意土匪的观点，盾牌有点太丑了哈哈哈哈哈哈哈!但说真的，我佩服你;我很高兴你是站在我们这边的。"
ZombieINC_challenge_tier5_KillBossTwinsInfested_response,Quest,Quest Info,,X,Hunt the Twins Zombies ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]双胞胎II([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier5_KillBossTwinsInfested_statement,Quest,Quest Info,,X,"Don't underestimate you enemy, he is much stronger now!",,"不要轻敌，他们现在不可同日而语了！"
ZombieINC_challenge_tier5_KillBossDemolition_name,Quest,Quest Info,,X,Tier 5 Hunt the Special Zombie,,5级 猎杀特殊感染者
ZombieINC_challenge_tier5_KillBossDemolition_subtitle,Quest,Quest Info,,X,A Monstrosity,,巨兽
ZombieINC_challenge_tier5_KillBossDemolition_description,Quest,Quest Info,,X,"This will be the toughest fight that you've ever had until now. We know absolutely nothing about that thing. No one comes back alive to tell the story. These bandits are cowards. Instead of fighting directly against us, they keep making these things.",,"这将是你迄今为止经历过的最艰难的一场战斗。我们对那东西一无所知。没有人能活着回来讲述这个故事。这些土匪都是懦夫，他们没有直接攻击我们，而是一直在制造这些怪物。"
ZombieINC_challenge_tier5_KillBossDemolition_offer,Quest,Quest Info,,X,"The rumors are real. [DECEA3]A monstrosity has been found[-]. Explosions sound everywhere, destruction, death. The bounties are at the highest prices, even though the other warriors are too afraid to take the risk. So what do you think, are you crazy enough to accept this mission? He is just by [DECEA3]{poi.name}[-]" ,,"传闻是真的。 我们发现了一只[DECEA3]巨兽[-]。 到处都是爆炸声，毁灭，死亡。这是我开过最高的价，尽管如此其他战士也不敢冒这个险。所以你怎么想?你觉得你足够疯到接受这个任务了吗?他就在[DECEA3]{poi.name}[-]"
ZombieINC_challenge_tier5_KillBossDemolition_completion,Quest,Quest Info,,X,"The storm finally is over for now. Sadly, this is not the moment for rest. While you were fighting that monster, the scouts encountered other experiments of the bandits. We need to be strong to fight what is to come.",,"风暴终于暂时结束了。遗憾的是，现在不是休息的时候。当你和怪物战斗的时候，侦察兵还撞见了土匪的其他试验。我们需要坚强地面对即将到来的一切。"
ZombieINC_challenge_tier5_KillBossDemolition_response,Quest,Quest Info,,X,Hunt the Demolisher Zombie ([DECEA3]{poi.distance} {poi.direction}[-]),,[猎杀]毁灭者([DECEA3]{poi.distance} {poi.direction}[-])
